priority,eventId,title,category,currentPolicyGeoType,currentMarkerSummary,currentRegionSummary,issue,agentRecommendation,allowedDecisions,reviewerDecision,approvedGeoType,approvedMarkers,approvedProvinceNames,approvedGadmRefs,reviewer,reviewDate,reviewerNote
P1,chien-dich-dien-bien-phu-1954,Chiến dịch Điện Biên Phủ,multi-point integrity flag: B_duplicate_coordinates,multi_point,Him Lam(high); Him Lam(high); Đồi Độc Lập(high); Mường Thanh(high); Bản Kéo(high); Điện Biên Phủ(high),,multi-point integrity flag: B_duplicate_coordinates,Review policy candidate geometry; no autonomous approval.,"['ACCEPT_POLICY', 'KEEP_MARKERS', 'SET_POINT', 'SET_MULTI_POINT', 'SET_MULTI_POLYGON', 'SET_MIXED', 'SET_NATIONWIDE', 'DISABLE_GEOMETRY', 'NEED_MORE_EVIDENCE']",SET_MULTI_POINT,multi_point,"[{""name"": ""Him Lam"", ""lat"": 21.405, ""lng"": 103.023, ""confidence"": ""high""}, {""name"": ""Đồi Độc Lập"", ""lat"": 21.428, ""lng"": 103.012, ""confidence"": ""high""}, {""name"": ""Mường Thanh"", ""lat"": 21.385, ""lng"": 103.006, ""confidence"": ""high""}, {""name"": ""Bản Kéo"", ""lat"": 21.411, ""lng"": 102.986, ""confidence"": ""high""}, {""name"": ""Điện Biên Phủ"", ""lat"": 21.3861, ""lng"": 103.0167, ""confidence"": ""high""}]",[],[],Project owner — delegated policy approval,2026-08-04,Distinct high-confidence named localities retained after deduplicating the serialization artifact; no region evidence added. Not claimed as fully verified history.
P1,chien-dich-giai-phong-sai-gon-gia-dinh-chien-dich-ho-chi-minh,Chiến dịch giải phóng Sài Gòn – Gia Định,multi-point integrity flag: B_duplicate_coordinates,multi_point,Phan Rang(high); Phan Rang(high); Xuân Lộc(high); Dinh Độc Lập(high),,multi-point integrity flag: B_duplicate_coordinates,Review policy candidate geometry; no autonomous approval.,"['ACCEPT_POLICY', 'KEEP_MARKERS', 'SET_POINT', 'SET_MULTI_POINT', 'SET_MULTI_POLYGON', 'SET_MIXED', 'SET_NATIONWIDE', 'DISABLE_GEOMETRY', 'NEED_MORE_EVIDENCE']",SET_MULTI_POINT,multi_point,"[{""name"": ""Phan Rang"", ""lat"": 11.5667, ""lng"": 108.9833, ""confidence"": ""high""}, {""name"": ""Xuân Lộc"", ""lat"": 10.9, ""lng"": 107.3, ""confidence"": ""high""}, {""name"": ""Dinh Độc Lập"", ""lat"": 10.7792, ""lng"": 106.695, ""confidence"": ""high""}]",[],[],Project owner — delegated policy approval,2026-08-04,Distinct high-confidence named localities retained after deduplicating the serialization artifact; no region evidence added. Not claimed as fully verified history.
P1,chien-dich-viet-bac-thu-dong-1947,Chiến dịch Việt Bắc thu – đông năm 1947,multi-point integrity flag: B_duplicate_coordinates,multi_point,Đoan Hùng(high); Đoan Hùng(high); Chợ Đồn(high); Việt Bắc(medium); Chợ Rã(high),,multi-point integrity flag: B_duplicate_coordinates,Review policy candidate geometry; no autonomous approval.,"['ACCEPT_POLICY', 'KEEP_MARKERS', 'SET_POINT', 'SET_MULTI_POINT', 'SET_MULTI_POLYGON', 'SET_MIXED', 'SET_NATIONWIDE', 'DISABLE_GEOMETRY', 'NEED_MORE_EVIDENCE']",DISABLE_GEOMETRY,no_location,[],[],[],Project owner — delegated policy approval,2026-08-04,Marker provenance insufficient or fewer than two independent locations after dedup. Fail-closed no_location applied.
P1,chien-si-hai-quan-nhan-dan-viet-nam-hi-sinh-bao-ve-gac-ma-co-lin-len-dao,"Chiến sĩ hải quân Nhân dân Việt Nam hi sinh anh dũng khi chiến đấu bảo vệ chủ quyền tại các đảo Gạc Ma, Cô Lin, Len Đao",island/border/transnational,no_location,,,island/border/transnational,Review policy candidate geometry; no autonomous approval.,"['ACCEPT_POLICY', 'KEEP_MARKERS', 'SET_POINT', 'SET_MULTI_POINT', 'SET_MULTI_POLYGON', 'SET_MIXED', 'SET_NATIONWIDE', 'DISABLE_GEOMETRY', 'NEED_MORE_EVIDENCE']",ACCEPT_POLICY,no_location,[],[],[],Project owner — delegated policy approval,2026-08-04,Fail-closed no_location retained for high-risk island/border/transnational event. Official external evidence not collected this round; geometry is not restored without it.
P0,chien-thang-bach-dang-938,Chiến thắng Bạch Đằng (938),P0 / demo / override;multi-point integrity flag: B_duplicate_only_one_distinct,multi_point,Bạch Đằng(medium); Bạch Đằng(medium),,P0 / demo / override; multi-point integrity flag: B_duplicate_only_one_distinct,Review policy candidate geometry; no autonomous approval.,"['ACCEPT_POLICY', 'KEEP_MARKERS', 'SET_POINT', 'SET_MULTI_POINT', 'SET_MULTI_POLYGON', 'SET_MIXED', 'SET_NATIONWIDE', 'DISABLE_GEOMETRY', 'NEED_MORE_EVIDENCE']",SET_POINT,point,"[{""name"": ""Bạch Đằng"", ""lat"": 20.8833, ""lng"": 106.8, ""confidence"": ""medium""}]",[],[],Project owner — delegated policy approval,2026-08-04,The overview map uses one representative Bạch Đằng point. Detailed battle stages belong to the separate event-specific 3D module and are not represented by the generic mapData contract.
P1,chu-quyen-viet-nam-duoc-tuyen-bo-cong-nhan-hoi-nghi-xan-phran-xi-xo,Chủ quyền của Việt Nam đối với Hoàng Sa và Trường Sa được tuyên bố và công nhận tại Hội nghị Hoà bình Xan Phran-xi-xcô,island/border/transnational,no_location,,,island/border/transnational,Review policy candidate geometry; no autonomous approval.,"['ACCEPT_POLICY', 'KEEP_MARKERS', 'SET_POINT', 'SET_MULTI_POINT', 'SET_MULTI_POLYGON', 'SET_MIXED', 'SET_NATIONWIDE', 'DISABLE_GEOMETRY', 'NEED_MORE_EVIDENCE']",ACCEPT_POLICY,no_location,[],[],[],Project owner — delegated policy approval,2026-08-04,Fail-closed no_location retained for high-risk island/border/transnational event. Official external evidence not collected this round; geometry is not restored without it.
P1,cuoc-cai-cach-cua-minh-mang,Cuộc cải cách của Minh Mạng,multi-point integrity flag: B_duplicate_coordinates,multi_point,Gia Định Thành(high); Gia Định Thành(high); Bắc Thành(high); Thừa Thiên(high); Quảng Đức(medium); Nam Kì(medium),,multi-point integrity flag: B_duplicate_coordinates,Review policy candidate geometry; no autonomous approval.,"['ACCEPT_POLICY', 'KEEP_MARKERS', 'SET_POINT', 'SET_MULTI_POINT', 'SET_MULTI_POLYGON', 'SET_MIXED', 'SET_NATIONWIDE', 'DISABLE_GEOMETRY', 'NEED_MORE_EVIDENCE']",DISABLE_GEOMETRY,no_location,[],[],[],Project owner — delegated policy approval,2026-08-04,Marker provenance insufficient or fewer than two independent locations after dedup. Fail-closed no_location applied.
P1,dai-loan-chiem-dong-dao-ba-binh-truong-sa,Đài Loan chiếm đóng đảo Ba Bình thuộc quần đảo Trường Sa,island/border/transnational,no_location,,,island/border/transnational,Review policy candidate geometry; no autonomous approval.,"['ACCEPT_POLICY', 'KEEP_MARKERS', 'SET_POINT', 'SET_MULTI_POINT', 'SET_MULTI_POLYGON', 'SET_MIXED', 'SET_NATIONWIDE', 'DISABLE_GEOMETRY', 'NEED_MORE_EVIDENCE']",ACCEPT_POLICY,no_location,[],[],[],Project owner — delegated policy approval,2026-08-04,Fail-closed no_location retained for high-risk island/border/transnational event. Official external evidence not collected this round; geometry is not restored without it.
P1,dinh-tien-le-dong-do-hoa-lu,Triều Đinh và Tiền Lê đóng đô ở Hoa Lư,multi-point integrity flag: B_duplicate_only_one_distinct,multi_point,Hoa Lư(high); Hoa Lư(high),,multi-point integrity flag: B_duplicate_only_one_distinct,Review policy candidate geometry; no autonomous approval.,"['ACCEPT_POLICY', 'KEEP_MARKERS', 'SET_POINT', 'SET_MULTI_POINT', 'SET_MULTI_POLYGON', 'SET_MIXED', 'SET_NATIONWIDE', 'DISABLE_GEOMETRY', 'NEED_MORE_EVIDENCE']",SET_POINT,point,"[{""name"": ""Hoa Lư"", ""lat"": 20.2833, ""lng"": 105.9, ""confidence"": ""high""}]",[],[],Project owner — delegated policy approval,2026-08-04,Single distinct named locality with high confidence retained as a point; the duplicated marker artifact is removed. Not claimed as fully verified history.
P1,do-dac-cam-moc-chu-quyen-hoang-sa-pham-huu-nhat,"Đo đạc, cắm mốc chủ quyền Hoàng Sa của Phạm Hữu Nhật",island/border/transnational,no_location,,,island/border/transnational,Review policy candidate geometry; no autonomous approval.,"['ACCEPT_POLICY', 'KEEP_MARKERS', 'SET_POINT', 'SET_MULTI_POINT', 'SET_MULTI_POLYGON', 'SET_MIXED', 'SET_NATIONWIDE', 'DISABLE_GEOMETRY', 'NEED_MORE_EVIDENCE']",ACCEPT_POLICY,no_location,[],[],[],Project owner — delegated policy approval,2026-08-04,Fail-closed no_location retained for high-risk island/border/transnational event. Official external evidence not collected this round; geometry is not restored without it.
P1,doi-dinh-quang-duc-thanh-phu-thua-thien,Đổi dinh Quảng Đức thành phủ Thừa Thiên,multi-point integrity flag: B_duplicate_coordinates,multi_point,Thừa Thiên(high); Thừa Thiên(high); Quảng Đức(medium),,multi-point integrity flag: B_duplicate_coordinates,Review policy candidate geometry; no autonomous approval.,"['ACCEPT_POLICY', 'KEEP_MARKERS', 'SET_POINT', 'SET_MULTI_POINT', 'SET_MULTI_POLYGON', 'SET_MIXED', 'SET_NATIONWIDE', 'DISABLE_GEOMETRY', 'NEED_MORE_EVIDENCE']",DISABLE_GEOMETRY,no_location,[],[],[],Project owner — delegated policy approval,2026-08-04,Marker provenance insufficient or fewer than two independent locations after dedup. Fail-closed no_location applied.
P1,ga-cong-chua-thieu-dung-duong-tu-minh-1144,Gả Công chúa Thiều Dung cho Dương Tự Minh,island/border/transnational,multi_polygon,,Thái Nguyên,island/border/transnational,Review policy candidate geometry; no autonomous approval.,"['ACCEPT_POLICY', 'KEEP_MARKERS', 'SET_POINT', 'SET_MULTI_POINT', 'SET_MULTI_POLYGON', 'SET_MIXED', 'SET_NATIONWIDE', 'DISABLE_GEOMETRY', 'NEED_MORE_EVIDENCE']",DISABLE_GEOMETRY,no_location,[],[],[],Project owner — delegated policy approval,2026-08-04,High-risk island/border/transnational event without confirmed official external evidence this round. Geometry disabled per fail-closed policy; historicalLocations preserved as context.
P1,gia-dinh-thanh-duoc-lap,Gia Định Thành được lập,multi-point integrity flag: B_duplicate_coordinates,multi_point,Định Tường(medium); Định Tường(medium); Gia Định Thành(high); Vĩnh Thanh(low); Biên Hoà(high),,multi-point integrity flag: B_duplicate_coordinates,Review policy candidate geometry; no autonomous approval.,"['ACCEPT_POLICY', 'KEEP_MARKERS', 'SET_POINT', 'SET_MULTI_POINT', 'SET_MULTI_POLYGON', 'SET_MIXED', 'SET_NATIONWIDE', 'DISABLE_GEOMETRY', 'NEED_MORE_EVIDENCE']",DISABLE_GEOMETRY,no_location,[],[],[],Project owner — delegated policy approval,2026-08-04,Marker provenance insufficient or fewer than two independent locations after dedup. Fail-closed no_location applied.
P1,giai-doan-khang-chien-chong-my-1954-1960,"Giai đoạn 1954 - 1960 của cuộc kháng chiến chống Mỹ, cứu nước",multi-point integrity flag: B_duplicate_coordinates,multi_point,Bắc Ái (Ninh Thuận)(high); Bắc Ái (Ninh Thuận)(high); Trà Bồng (Quảng Ngãi)(high); Vĩnh Thạnh (Bình Định)(high),,multi-point integrity flag: B_duplicate_coordinates,Review policy candidate geometry; no autonomous approval.,"['ACCEPT_POLICY', 'KEEP_MARKERS', 'SET_POINT', 'SET_MULTI_POINT', 'SET_MULTI_POLYGON', 'SET_MIXED', 'SET_NATIONWIDE', 'DISABLE_GEOMETRY', 'NEED_MORE_EVIDENCE']",SET_MULTI_POINT,multi_point,"[{""name"": ""Bắc Ái (Ninh Thuận)"", ""lat"": 11.75, ""lng"": 108.7, ""confidence"": ""high""}, {""name"": ""Trà Bồng (Quảng Ngãi)"", ""lat"": 15.25, ""lng"": 108.45, ""confidence"": ""high""}, {""name"": ""Vĩnh Thạnh (Bình Định)"", ""lat"": 14.3, ""lng"": 108.7, ""confidence"": ""high""}]",[],[],Project owner — delegated policy approval,2026-08-04,Distinct high-confidence named localities retained after deduplicating the serialization artifact; no region evidence added. Not claimed as fully verified history.
P1,giai-doan-khang-chien-chong-my-1961-1965,"Giai đoạn 1961 - 1965 của cuộc kháng chiến chống Mỹ, cứu nước",multi-point integrity flag: B_duplicate_coordinates,multi_point,Ba Gia (Quảng Ngãi)(high); Ba Gia (Quảng Ngãi)(high); Đồng Xoài (Bình Phước)(high); Ấp Bắc (Mỹ Tho)(high); Bình Giã (Bà Rịa – Vũng Tàu)(high); An Lão (Bình Định)(high),,multi-point integrity flag: B_duplicate_coordinates,Review policy candidate geometry; no autonomous approval.,"['ACCEPT_POLICY', 'KEEP_MARKERS', 'SET_POINT', 'SET_MULTI_POINT', 'SET_MULTI_POLYGON', 'SET_MIXED', 'SET_NATIONWIDE', 'DISABLE_GEOMETRY', 'NEED_MORE_EVIDENCE']",SET_MULTI_POINT,multi_point,"[{""name"": ""Ba Gia (Quảng Ngãi)"", ""lat"": 15.1833, ""lng"": 108.7833, ""confidence"": ""high""}, {""name"": ""Đồng Xoài (Bình Phước)"", ""lat"": 11.5333, ""lng"": 106.9, ""confidence"": ""high""}, {""name"": ""Ấp Bắc (Mỹ Tho)"", ""lat"": 10.43, ""lng"": 106.15, ""confidence"": ""high""}, {""name"": ""Bình Giã (Bà Rịa – Vũng Tàu)"", ""lat"": 10.65, ""lng"": 107.25, ""confidence"": ""high""}, {""name"": ""An Lão (Bình Định)"", ""lat"": 14.5, ""lng"": 108.7, ""confidence"": ""high""}]",[],[],Project owner — delegated policy approval,2026-08-04,Distinct high-confidence named localities retained after deduplicating the serialization artifact; no region evidence added. Not claimed as fully verified history.
P1,giai-doan-khang-chien-chong-my-1965-1968,"Giai đoạn 1965 - 1968 của cuộc kháng chiến chống Mỹ, cứu nước",multi-point integrity flag: B_duplicate_coordinates,multi_point,Vạn Tường (Quảng Ngãi)(high); Vạn Tường (Quảng Ngãi)(high); Vịnh Bắc Bộ(medium),,multi-point integrity flag: B_duplicate_coordinates,Review policy candidate geometry; no autonomous approval.,"['ACCEPT_POLICY', 'KEEP_MARKERS', 'SET_POINT', 'SET_MULTI_POINT', 'SET_MULTI_POLYGON', 'SET_MIXED', 'SET_NATIONWIDE', 'DISABLE_GEOMETRY', 'NEED_MORE_EVIDENCE']",DISABLE_GEOMETRY,no_location,[],[],[],Project owner — delegated policy approval,2026-08-04,Marker provenance insufficient or fewer than two independent locations after dedup. Fail-closed no_location applied.
P1,giai-doan-khang-chien-chong-my-1973-1975,"Giai đoạn 1973 - 1975 của cuộc kháng chiến chống Mỹ, cứu nước",multi-point integrity flag: B_duplicate_coordinates,multi_point,Xuân Lộc(high); Xuân Lộc(high); Phan Rang(high); Dinh Độc Lập(high); Sài Gòn – Gia Định(high),,multi-point integrity flag: B_duplicate_coordinates,Review policy candidate geometry; no autonomous approval.,"['ACCEPT_POLICY', 'KEEP_MARKERS', 'SET_POINT', 'SET_MULTI_POINT', 'SET_MULTI_POLYGON', 'SET_MIXED', 'SET_NATIONWIDE', 'DISABLE_GEOMETRY', 'NEED_MORE_EVIDENCE']",SET_MULTI_POINT,multi_point,"[{""name"": ""Xuân Lộc"", ""lat"": 10.9, ""lng"": 107.3, ""confidence"": ""high""}, {""name"": ""Phan Rang"", ""lat"": 11.5667, ""lng"": 108.9833, ""confidence"": ""high""}, {""name"": ""Dinh Độc Lập"", ""lat"": 10.7792, ""lng"": 106.695, ""confidence"": ""high""}, {""name"": ""Sài Gòn – Gia Định"", ""lat"": 10.7769, ""lng"": 106.7009, ""confidence"": ""high""}]",[],[],Project owner — delegated policy approval,2026-08-04,Distinct high-confidence named localities retained after deduplicating the serialization artifact; no region evidence added. Not claimed as fully verified history.
P1,giai-phong-hue-va-thua-thien,Giải phóng thành phố Huế và toàn tỉnh Thừa Thiên,multi-point integrity flag: B_duplicate_only_one_distinct,multi_point,Thừa Thiên(high); Thừa Thiên(high),,multi-point integrity flag: B_duplicate_only_one_distinct,Review policy candidate geometry; no autonomous approval.,"['ACCEPT_POLICY', 'KEEP_MARKERS', 'SET_POINT', 'SET_MULTI_POINT', 'SET_MULTI_POLYGON', 'SET_MIXED', 'SET_NATIONWIDE', 'DISABLE_GEOMETRY', 'NEED_MORE_EVIDENCE']",SET_POINT,point,"[{""name"": ""Thừa Thiên"", ""lat"": 16.4637, ""lng"": 107.5909, ""confidence"": ""high""}]",[],[],Project owner — delegated policy approval,2026-08-04,Single distinct named locality with high confidence retained as a point; the duplicated marker artifact is removed. Not claimed as fully verified history.
P1,giai-phong-thi-xa-thai-nguyen,Giải phóng thị xã Thái Nguyên,multi-point integrity flag: B_duplicate_only_one_distinct,multi_point,Tân Trào(high); Tân Trào(high),,multi-point integrity flag: B_duplicate_only_one_distinct,Review policy candidate geometry; no autonomous approval.,"['ACCEPT_POLICY', 'KEEP_MARKERS', 'SET_POINT', 'SET_MULTI_POINT', 'SET_MULTI_POLYGON', 'SET_MIXED', 'SET_NATIONWIDE', 'DISABLE_GEOMETRY', 'NEED_MORE_EVIDENCE']",SET_POINT,point,"[{""name"": ""Tân Trào"", ""lat"": 21.75, ""lng"": 105.35, ""confidence"": ""high""}]",[],[],Project owner — delegated policy approval,2026-08-04,Single distinct named locality with high confidence retained as a point; the duplicated marker artifact is removed. Not claimed as fully verified history.
P1,hinh-thanh-phat-trien-van-minh-cham-pa,Hình thành và phát triển văn minh Chăm-pa,multi-point integrity flag: B_duplicate_only_one_distinct,multi_point,cao nguyên Trường Sơn Việt Nam(low); cao nguyên Trường Sơn Việt Nam(low),,multi-point integrity flag: B_duplicate_only_one_distinct,Review policy candidate geometry; no autonomous approval.,"['ACCEPT_POLICY', 'KEEP_MARKERS', 'SET_POINT', 'SET_MULTI_POINT', 'SET_MULTI_POLYGON', 'SET_MIXED', 'SET_NATIONWIDE', 'DISABLE_GEOMETRY', 'NEED_MORE_EVIDENCE']",DISABLE_GEOMETRY,no_location,[],[],[],Project owner — delegated policy approval,2026-08-04,Multi-point contract violated: only one distinct coordinate and/or marker provenance insufficient. Fail-closed no_location applied.
P1,hinh-thanh-phat-trien-van-minh-van-lang-au-lac,Hình thành và phát triển văn minh Văn Lang – Âu Lạc,multi-point integrity flag: B_duplicate_only_one_distinct,multi_point,Bắc Trung Bộ Việt Nam(low); Bắc Trung Bộ Việt Nam(low),,multi-point integrity flag: B_duplicate_only_one_distinct,Review policy candidate geometry; no autonomous approval.,"['ACCEPT_POLICY', 'KEEP_MARKERS', 'SET_POINT', 'SET_MULTI_POINT', 'SET_MULTI_POLYGON', 'SET_MIXED', 'SET_NATIONWIDE', 'DISABLE_GEOMETRY', 'NEED_MORE_EVIDENCE']",DISABLE_GEOMETRY,no_location,[],[],[],Project owner — delegated policy approval,2026-08-04,Multi-point contract violated: only one distinct coordinate and/or marker provenance insufficient. Fail-closed no_location applied.
